start_time,end_time,intensity
30.75,31.25,1.4807137
65.5,66.25,2.162936
75.25,75.5,2.2760558
104.75,107.0,1.7868785
149.75,152.0,1.456384
267.25,268.25,2.2171433
286.5,287.5,1.6854646
295.25,296.25,4.0326824
350.25,352.75,3.2714312
454.75,457.5,3.5110738
498.0,500.25,2.0053563
545.75,548.0,2.836282
584.25,585.75,2.4973612
657.75,660.75,2.5961637
684.5,685.25,2.301388
718.25,719.75,2.1345556
807.0,808.5,2.2319906
844.75,847.75,2.1614451
851.25,852.5,1.8092059
862.0,862.25,1.5395821
880.0,880.5,2.6797316
962.0,964.75,2.631644
1018.25,1021.0,2.2130756
1032.25,1035.25,2.5715725
1098.5,1099.75,1.8703395
1166.25,1168.75,4.182136
1206.0,1208.75,6.6534653
1273.0,1275.75,2.4217196
